"SP_ID","assoc_comuni"
"2845 1","Chiaravalle"
"2846 1","Chiaravalle"
"2847 1","Chiaravalle"
"2848 1","Montemarciano"
"2849 1","Falconara Marittima"
"2850 1","Chiaravalle"
"2851 1","Montemarciano"
"2852 1","Chiaravalle"
"2853 1","Chiaravalle"
"2854 1","Falconara Marittima"
"2855 1","Montemarciano"
"2856 1","Chiaravalle"
"2857 1","Falconara Marittima"
"2858 1","Montemarciano"
"2859 1","Chiaravalle"
"2860 1","Chiaravalle"
"2861 1","Monte San Vito"
"2862 1","Montemarciano"
"2863 1","Chiaravalle"
"2864 1","Chiaravalle"
"2865 1","Falconara Marittima"
"2866 1","Falconara Marittima"
"2867 1","Montemarciano"
"2868 1","Montemarciano"
"2869 1","Camerata Picena"
"2870 1","Montemarciano"
"2871 1","Montemarciano"
"2872 1","Montemarciano"
"2873 1","Falconara Marittima"
"2874 1","Montemarciano"
"2875 1","Chiaravalle"
"2876 1","Chiaravalle"
"2877 1","Falconara Marittima"
"2878 1","Jesi"
"2880 1","Jesi"
"2881 1","San Marcello"
"2882 1","Monte San Vito"
"2883 1","Belvedere Ostrense"
"2884 1","Morro d'Alba"
"2885 1","Jesi"
"2886 1","Ostra"
"2887 1","Senigallia"
"2888 1","Montemarciano"
"2889 1","San Marcello"
"2890 1","San Marcello"
"2891 1","Ostra"
"2892 1","Monte San Vito"
"2893 1","Ostra"
"2894 1","Monsano"
"2895 1","Maiolati Spontini"
"2896 1","Ostra"
"2897 1","Ostra"
"2898 1","Ostra"
"2899 1","Ostra"
"2900 1","Ostra"
"2901 1","Ostra"
"2902 1","Belvedere Ostrense"
"2903 1","Belvedere Ostrense"
"2904 1","Ostra"
"2905 1","Ostra"
"2906 1","Monsano"
"2907 1","Trecastelli"
"2908 1","San Marcello"
"2909 1","Ostra"
"2911 1","San Marcello"
"2912 1","Montemarciano"
"2913 1","Trecastelli"
"2914 1","Trecastelli"
"2915 1","Belvedere Ostrense"
"2916 1","San Marcello"
"2917 1","Ostra"
"2918 1","Montemarciano"
"2919 1","Monte San Vito"
"2921 1","Monte San Vito"
"2922 1","Ostra"
"2923 1","Ostra"
"2924 1","Ostra"
"2925 1","Ostra"
"2926 1","Morro d'Alba"
"2927 1","Ostra"
"2928 1","Polverigi"
"2929 1","Polverigi"
"2930 1","Offagna"
"2931 1","Jesi"
"2932 1","Osimo"
"2933 1","Osimo"
"2934 1","Jesi"
"2935 1","Polverigi"
"2936 1","Montemarciano"
"2937 1","Jesi"
"2938 1","Osimo"
"2939 1","Polverigi"
"2940 1","Polverigi"
"2941 1","Polverigi"
"2942 1","Polverigi"
"2943 1","Agugliano"
"2944 1","Camerata Picena"
"2945 1","Agugliano"
"2946 1","Agugliano"
"2947 1","Polverigi"
"2948 1","Polverigi"
"2949 1","Polverigi"
"2950 1","Jesi"
"2951 1","Polverigi"
"2952 1","Agugliano"
"2953 1","Osimo"
"2954 1","Polverigi"
"2955 1","Polverigi"
"2956 1","Agugliano"
"2957 1","Agugliano"
"2958 1","Polverigi"
"2959 1","Osimo"
"2960 1","Agugliano"
"2961 1","Polverigi"
"2962 1","Osimo"
