COMUNE,2015-04,2015-05,2015-09,2016-04,2016-05,2016-08,2016-09,2016-10,2017-04,2017-05,2017-09,2017-10,2018-04
Montedinove,0,-8.959649348975129,1.0001718877572876,0.6967593491592564,6.162176099007321,14.530155582054908,6.381332989557806,-0.3996390357097009,-1.2247002707232302,-7.567358514889795,-17.442310171458047,-21.838339564264558,-15.884577370976752
Montefalcone Appennino,0,-8.707004991253394,3.7126038010784486,14.730877301087258,16.9328546228688,37.82566768601218,18.9880334608346,14.014383317991614,-17.575006326166132,-21.63622161018349,-33.551417978047276,-19.13766104218543,-13.236753863851131
Montefano,0,0.8912338753780212,-2.597833623404974,9.73804208223719,9.938419556581998,0.12291840014872898,7.718071844890356,7.707986916625016,5.269912188346278,4.761073840389207,-1.589589165667988,2.4372603096731793,4.990002000812808
Montefiore dell'Aso,0,6.686823298082856,5.856249816184978,5.540980429904357,6.256097407262675,27.694255119934404,1.3165988126599404,0.37517173576013324,8.705206902202017,8.268777493477181,2.887177483393624,17.22027553348372,1.0900073946162117
Montegiorgio,0,1.612031659110475,-3.5661235796027277,-0.1049616519057261,0.8475724648373918,-3.2507406487289217,3.2007130407818356,2.326984524180159,0.775339363600522,-2.33224275310059,-1.3611642591737547,-3.5608809383174456,0.3177106433342677
Montegranaro,0,3.609028056375623,0.33386370398906884,17.682178019498657,23.805728273237765,6.606802949651197,23.297939846138124,25.880189985813708,28.580227921879764,31.71864510368621,28.00901529672372,28.448662195177587,24.671968883905528
Monteleone di Fermo,0,-5.104912437240174,-20.085485519510716,-1.1264037719918478,0.32546578572795865,3.685189522928136,3.4658282169488794,-1.4192744294080348,-9.731681927301308,-11.304341668260005,-13.037043331704586,-5.05689986049443,6.211243535179737
Montelparo,0,-0.8735755209972803,0.3244573746446835,0.02319791799707207,2.268760449677136,12.434079237169197,2.0764689010612263,-3.160437085073479,-3.550266882131144,-8.620939928784813,-16.01397720833596,-6.509405583887738,-6.3502265408391505
Montelupone,0,43.04373741655188,-2.5883616665909637,13.645035242261802,16.184584992203963,12.997498396849794,26.242393163687016,26.846058069301677,30.731845774232113,25.315589094597257,24.02761168046745,19.65269683162023,18.80207939115037
Montemarciano,0,-1.2469080516683195,-2.1003691514715364,14.898818135697992,7.9422691700796495,30.852884646134843,8.927390171521326,9.073243724944822,9.207937760545587,11.442772379180505,12.836779906342521,10.489839191796337,11.363964073463615
Monterubbiano,0,-2.426431843329548,-10.215310801392333,2.7896318614488584,6.549732546030469,19.67444189910413,5.754615256462235,-0.0027133404639885193,2.055301134664719,-0.978566238338738,-1.3950097327522328,-7.462418877903467,-3.976007015613096
Montottone,0,9.794778999279956,-14.470676478076866,-13.792402723667918,-8.510043948186356,-11.06956145994024,-10.197662271184116,-14.435082065495072,-6.593323421007321,-10.886263527785557,-7.84872980479757,-5.5232005194510405,8.160626986158254
Moresco,0,8.391800141870178,-14.346920284455686,2.3787903804465653,11.16959447779253,39.49852668498162,7.566409750495246,8.910003834866266,27.642034108453206,20.386586313302583,10.914863981465471,6.907130665617522,4.008445316065169
Morro d'Alba,0,-5.245996338523877,-10.728247401155766,-16.422298480339084,-11.531485278843437,-10.160811175507266,-15.39426481475657,-15.706636822896645,-14.293488315304991,-15.084023538157526,-16.436767497618153,-17.855192102359,-15.623961056991673
Morrovalle,0,2.3220726670213154,-8.667982193562944,12.78769153662555,14.81255877704346,3.2691740432032024,13.566415093884435,15.290746085986667,19.498428524501705,21.835468103490218,19.461217303479124,19.633070422286046,16.716949225345868
Muccia,0,0.9900458549301694,16.50467543177525,4.696500526764399,5.758571163696845,21.345822858874676,5.146766217341855,8.18841201360428,-29.552104982053756,-27.97765091031859,-28.03117139006578,-30.35701536153998,-20.743798146062367
Numana,0,7.523912667152143,27.231951584821545,-6.334932193758935,10.474518502897388,327.98773355778917,23.889886926647026,-7.25022147897698,23.37842405512979,8.928928652727858,25.988689708363825,-8.167671657293422,0.6485069234695053
Offagna,0,10.735748446720521,3.371617598380694,2.106022449325099,5.26840441196052,2.1814338749935565,3.1110295208708076,3.3466847517986564,9.96191469042845,12.964842427263157,16.3044884355346,7.331041619900221,9.759194120937021
Ortezzano,0,8.604070260836147,27.734999576824652,-0.8687621285328989,7.7124283175233375,19.869796893692623,14.490210924329366,2.6173968538626537,-1.1158105180810243,-6.3256711904495155,-8.64924709095528,-10.817620564950548,-11.684987110306958
Osimo,0,-1.8613467713827412,-4.4377820686586595,9.06963977766469,8.54603153880181,-1.22531529486808,8.637351682330257,7.337595560539219,13.722419898793948,15.73807146525676,15.731121777089882,11.664325593883433,12.758286660282472
Ostra,0,1.5771709744693336,-5.53619048224331,6.98636294625668,9.407461038305312,13.666035490788797,11.152274712090476,14.348149035146557,13.620389258317738,10.554075362949268,5.315720190231779,6.694379127323844,6.857169489512953
Ostra Vetere,0,0.2847468865698156,-16.643494606375356,0.1939166188470588,3.9197632843731247,1.5913611110688473,-2.717793138542903,-4.125079169978955,-2.150259038227909,-0.9545373573875996,-5.748041652363993,-4.030002912202301,11.877471242470595
Pedaso,0,28.87950708991131,28.633835457005365,37.1904891746569,39.92347800230538,116.26828949112107,47.97696271762332,48.146215850778056,58.53810439210522,35.519678283064316,91.83609733279,46.61663712064795,57.486946794049274
Penna San Giovanni,0,-1.9156782495044897,-2.3064856801380254,10.009262054770343,10.598818194648137,24.587652460253672,10.945659043633537,8.011803736043047,-1.6056026327792214,-3.693346259968529,-11.999220720250825,-1.0783615898942869,-8.932085053987098
Petriolo,0,-0.7291059752702717,-6.873375568551008,19.109815445041985,15.331051336829137,9.420910073602913,16.601299784927644,16.331695115196766,19.882096847284274,20.88328010473085,19.564703322471836,6.4378286326722804,20.667278675710712
Petritoli,0,-3.2672534618250064,-1.5579550612152608,0.06447999731216317,4.616551676890632,8.112674128288338,17.581696501208903,122.23157475572408,19.79238327134258,20.623157047393686,14.147524698776268,5.606108397726673,9.860447632314346
Pieve Torina,0,1.5848132817847347,9.690942062297287,11.818170216732899,19.43520653650736,69.90903693777554,20.27121527735856,19.95100219821452,-23.141431467621597,-21.656731207680647,-19.075802645472663,-11.841754559646644,-3.502028728165285
